model,perturbation,accuracy_mean,accuracy_std,absolute_drop_mean,absolute_drop_std,relative_drop_mean,relative_drop_std,seeds
AE,clean,0.05736666666666667,0.001266227994214838,0.0,0.0,0.0,0.0,3
AE,high_pass,0.012566666666666665,0.0042829117821096135,0.044800000000000006,0.005260228131934966,0.7800909479946986,0.07868014505590917,3
AE,patch_shuffle,0.0573,0.0013076696830622012,6.666666666666626e-05,0.00011547005383792445,0.0011716461628588097,0.0020293506825645774,3
AE,patch_drop,0.03876666666666667,0.002468467810876482,0.018599999999999995,0.0012124355652982138,0.32463756171428665,0.027985748835642706,3
MAE,clean,0.08853333333333334,0.0033501243758005937,0.0,0.0,0.0,0.0,3
MAE,high_pass,0.012666666666666666,0.0012662279942148383,0.07586666666666667,0.0023180451534284925,0.8571070505388932,0.009718036442559619,3
MAE,patch_shuffle,0.0684,0.0019052558883257717,0.020133333333333333,0.0016921386861996,0.22718276826450065,0.011482465950026865,3
MAE,patch_drop,0.04086666666666667,0.0014047538337137006,0.04766666666666667,0.0019553345834749905,0.5383603919329905,0.0022491942305196445,3
