model,k,knn_acc
AE,5,0.0414
AE,10,0.0442
AE,20,0.0516
AE,50,0.0551
AE,100,0.0545
MAE,5,0.0392
MAE,10,0.0454
MAE,20,0.0496
MAE,50,0.0564
MAE,100,0.0573
