model,clean_acc_mean,clean_acc_std,shape_bias_rate_mean,shape_bias_rate_std,texture_bias_rate_mean,texture_bias_rate_std,shape_top1_rate_mean,texture_top1_rate_mean,other_top1_rate_mean,shape_minus_texture_logit_mean,prediction_entropy_mean,seeds,num_conflict_images
AE,0.056799999999999996,0.0007211102550927974,0.5838666666666666,0.004969238707622459,0.4161333333333334,0.004969238707622474,0.025533333333333335,0.012000000000000002,0.9624666666666667,0.26898582356770834,4.4312882812500005,3,5000
MAE,0.08873333333333333,0.0039004273270160207,0.6056666666666667,0.001527525231651948,0.39433333333333337,0.0015275252316519481,0.028733333333333333,0.0102,0.9610666666666666,0.38028085123697913,4.338062776692708,3,5000
