model,linear_probe_mean,linear_probe_std,linear_probe_seeds,best_knn_k,best_knn_acc
AE,0.488,0.0023388031127052986,3,20,0.3894
MAE,0.49593333333333334,0.006645549889462364,3,10,0.3561
