model,eval_mask_ratio,full_image_mse,full_image_psnr,objective_patch_mse,objective_patch_psnr,linear_probe_mean,num_images
AE,0.0,0.00019541942067444326,37.090322785259765,0.0001987871318589896,37.01611732330618,0.05736666666666667,10000
MAE,0.75,0.059671305477619174,12.242344606388203,0.03923993915915489,14.062716746576292,0.08853333333333334,10000
