model,clean_acc_mean,clean_acc_std,shape_bias_rate_mean,shape_bias_rate_std,texture_bias_rate_mean,texture_bias_rate_std,shape_top1_rate_mean,texture_top1_rate_mean,other_top1_rate_mean,shape_minus_texture_logit_mean,prediction_entropy_mean,seeds,num_conflict_images
AE,0.015625,0.0,0.5078125,0.0,0.4921875,0.0,0.0078125,0.0078125,0.984375,0.008240531664341688,4.523319721221924,1,128
MAE,0.0078125,0.0,0.46875,0.0,0.53125,0.0,0.0,0.0,1.0,0.005888793617486954,4.558786392211914,1,128
