model,seed,clean_acc,shape_bias_rate,texture_bias_rate,shape_top1_rate,texture_top1_rate,other_top1_rate,shape_minus_texture_logit,prediction_entropy,num_conflict_images
AE,42,0.015625,0.5078125,0.4921875,0.0078125,0.0078125,0.984375,0.008240531664341688,4.523319721221924,128
MAE,42,0.0078125,0.46875,0.53125,0.0,0.0,1.0,0.005888793617486954,4.558786392211914,128
