model,num_images,erf_radius_px,erf_entropy,erf_area_50_frac,erf_area_90_frac,gradient_abs_mean
AE,500,13.059651008605957,0.9790116777420044,0.29784765815734865,0.74830859375,9.102933763642795e-06
MAE,500,13.022073211669921,0.9705276827812195,0.27279296875,0.755484377861023,1.6609888756647707e-05
