model,layer,mean_attention_distance,num_images,head_distances_json
AE,0,4.136683702468872,8,"[4.1397669315338135, 4.1374876499176025, 4.1349546909332275, 4.13452672958374]"
AE,1,4.1374781131744385,8,"[4.139984846115112, 4.137134790420532, 4.1356401443481445, 4.137152433395386]"
AE,2,4.132975101470947,8,"[4.132449626922607, 4.131560802459717, 4.136016607284546, 4.131873369216919]"
AE,3,4.1350767612457275,8,"[4.136620998382568, 4.135476589202881, 4.133651971817017, 4.134556531906128]"
MAE,0,3.472196578979492,8,"[4.161445617675781, 2.8737688064575195, 2.956594944000244, 3.896977186203003]"
MAE,1,3.762557864189148,8,"[3.9892380237579346, 3.2275679111480713, 3.6765811443328857, 4.1568443775177]"
MAE,2,4.111525535583496,8,"[4.082684516906738, 4.118280649185181, 4.1219635009765625, 4.123173236846924]"
MAE,3,4.097998142242432,8,"[4.1043267250061035, 4.080974817276001, 4.109134674072266, 4.097557067871094]"
