model,num_images,erf_radius_px,erf_entropy,erf_area_50_frac,erf_area_90_frac,gradient_abs_mean
AE,4,13.037097930908203,0.980705976486206,0.30322265625,0.758056640625,0.00013258541002869606
MAE,4,13.195117950439453,0.9771037101745605,0.297607421875,0.775634765625,0.0002302789653185755
